ID	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio_num	BgRatio_num	Enrichment	Comparison	Direction
GERY_CEBP_TARGETS	8/195	131/41384	2.22E-07	1.45E-05	8.59E-06	ANK3/RRAD/TMEM45A/ABCD2/DUSP1/SERPINB9/CD47/SERPINB2	8	0.041025641	0.003165475	-12.96034449	E788_vs_WT	down
TRAVAGLINI_LUNG_ARTERY_CELL	8/195	131/41384	2.22E-07	1.45E-05	8.59E-06	F2R/TSPAN2/ENTPD1/GIMAP8/FN1/LIMA1/SOX4/KCNMB4	8	0.041025641	0.003165475	-12.96034449	E788_vs_WT	down
GSE25677_MPL_VS_R848_STIM_BCELL_DN	9/195	181/41384	2.22E-07	1.45E-05	8.59E-06	RASGRP3/MEF2C/LSP1/FAM107B/CLEC2D/SH3BP5/STAT4/PIK3CG/PPP3CA	9	0.046153846	0.004373671	-10.55265618	E788_vs_WT	down
GSE36095_WT_VS_HDAC9_KO_TREG_UP	9/195	181/41384	2.22E-07	1.45E-05	8.59E-06	RASGRP3/RAPH1/MEF2C/BLK/PHLDA1/TNFAIP8/DUSP6/KCNQ5/ADCY6	9	0.046153846	0.004373671	-10.55265618	E788_vs_WT	down
DELYS_THYROID_CANCER_UP	13/195	445/41384	2.31E-07	1.51E-05	8.90E-06	PRDM1/MET/RUNX1/STMN2/ENTPD1/DUSP4/FN1/GBP2/DUSP6/MAP2/DUSP5/PASK/SOX4	13	0.066666667	0.010752948	-6.199850187	E788_vs_WT	down
GSE26488_CTRL_VS_PEPTIDE_INJECTION_OT2_THYMOCYTE_DN	9/195	183/41384	2.44E-07	1.58E-05	9.35E-06	RASGRP3/MEF2C/LSP1/TNIK/SH3BP5/STAT4/NCOA1/PPP3CA/ST6GAL1	9	0.046153846	0.004421999	-10.43732661	E788_vs_WT	down
GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY	12/195	373/41384	2.46E-07	1.59E-05	9.38E-06	PDE4D/PLD1/PTPRJ/PTPRC/CDC14B/DUSP4/PTPRT/DUSP1/DUSP6/MTM1/PPP3CA/DUSP5	12	0.061538462	0.009013145	-6.827634564	E788_vs_WT	down
ELVIDGE_HYPOXIA_BY_DMOG_UP	8/195	133/41384	2.49E-07	1.60E-05	9.46E-06	MET/TMEM45A/TNFAIP8/CADM1/CSGALNACT1/NR3C1/JUN/ATXN1	8	0.041025641	0.003213802	-12.76545209	E788_vs_WT	down
MIR513A_3P_MIR513C_3P	13/195	448/41384	2.50E-07	1.60E-05	9.46E-06	DNER/RAPH1/RASSF8/SEMA5A/PTPRC/MCOLN2/CSGALNACT1/NCOA1/MTM1/PPP3CA/SNX4/GCNT1/SLFN5	13	0.066666667	0.01082544	-6.158333333	E788_vs_WT	down
MIR3919	11/195	305/41384	2.55E-07	1.62E-05	9.55E-06	PLD1/EHF/RASSF8/EGR2/PTPRJ/NFAT5/MAP2/TP53INP1/PAG1/ATXN1/ADAM22	11	0.056410256	0.007369998	-7.654039512	E788_vs_WT	down
GOBP_ACTIN_FILAMENT_ORGANIZATION	13/195	449/41384	2.56E-07	1.62E-05	9.55E-06	CALD1/MET/TMOD1/CTNNA2/DNAI3/SEMA5A/CCDC88A/ITGB1/CD47/TMSB4X/LIMA1/MICAL1/CYRIA	13	0.066666667	0.010849604	-6.144617669	E788_vs_WT	down
MIR300	13/195	449/41384	2.56E-07	1.62E-05	9.55E-06	ANK3/MET/RAPH1/FAM107B/MAST4/AUTS2/TSPAN2/FRG2C/ITGAV/MYCBP2/CADM1/PPP3CA/NR3C1	13	0.066666667	0.010849604	-6.144617669	E788_vs_WT	down
MIR381_3P	13/195	449/41384	2.56E-07	1.62E-05	9.55E-06	ANK3/MET/RAPH1/FAM107B/MAST4/AUTS2/TSPAN2/FRG2C/ITGAV/MYCBP2/CADM1/PPP3CA/NR3C1	13	0.066666667	0.010849604	-6.144617669	E788_vs_WT	down
GOCC_SPECIFIC_GRANULE_MEMBRANE	7/195	91/41384	2.68E-07	1.67E-05	9.84E-06	PLD1/SLC2A5/ATP8A1/PTPRJ/ITGAV/CD47/ITGAL	7	0.035897436	0.002198917	-16.32504931	E788_vs_WT	down
IL4_activated_human_blood_B_cells_2_SigDB_Staudt	7/195	91/41384	2.68E-07	1.67E-05	9.84E-06	RASGRP3/TLR7/SMARCA2/HOMER2/STAT4/GCSAM/ATXN1	7	0.035897436	0.002198917	-16.32504931	E788_vs_WT	down
LU_IL4_SIGNALING	7/195	91/41384	2.68E-07	1.67E-05	9.84E-06	RASGRP3/TLR7/SMARCA2/HOMER2/STAT4/GCSAM/ATXN1	7	0.035897436	0.002198917	-16.32504931	E788_vs_WT	down
MIR3911	7/195	91/41384	2.68E-07	1.67E-05	9.84E-06	PDE4D/ANK3/PCP4/ZEB2/SETBP1/MAP2/NR3C1	7	0.035897436	0.002198917	-16.32504931	E788_vs_WT	down
Germinal_center_Bcell_DLBCL_SigDB_Staudt	6/195	56/41384	2.70E-07	1.67E-05	9.88E-06	TOX/STK17A/GCSAM/PIK3CG/SYNE2/PAG1	6	0.030769231	0.00135318	-22.73846154	E788_vs_WT	down
MIKKELSEN_NPC_ICP_WITH_H3K4ME3	13/195	452/41384	2.76E-07	1.70E-05	1.01E-05	PLD1/CALD1/LRRN3/ZEB2/DDR2/CLEC2D/DNAI3/ENTPD1/FRG2C/ABCD2/CDKN2C/LIMA1/ADCY6	13	0.066666667	0.010922095	-6.103834808	E788_vs_WT	down
IRF_Q6	10/195	244/41384	2.82E-07	1.73E-05	1.02E-05	ZEB2/LSP1/SLC2A5/TLR7/CXCL10/RORB/CASP7/ZSCAN2/SYNE2/EXT1	10	0.051282051	0.005895998	-8.697772173	E788_vs_WT	down
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_UP	7/195	92/41384	2.89E-07	1.77E-05	1.04E-05	GBP4/GBP2/GNG11/GBP1/DUSP5/SERPINB2/CCL1	7	0.035897436	0.002223081	-16.14760312	E788_vs_WT	down
MIR545_3P	12/195	380/41384	3.00E-07	1.83E-05	1.08E-05	PDE4D/TOX/ANK3/RYR2/AUTS2/CHN2/DUSP1/CADM1/DOCK10/SCD5/NR3C1/CYRIA	12	0.061538462	0.009182293	-6.701862348	E788_vs_WT	down
XIE_ST_HSC_S1PR3_OE_UP	9/195	188/41384	3.07E-07	1.86E-05	1.10E-05	BLK/RYR2/CXCL10/H2AC6/GBP2/MAP2/GBP1/TDRD7/SLFN5	9	0.046153846	0.004542818	-10.15973813	E788_vs_WT	down
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	12/195	381/41384	3.08E-07	1.86E-05	1.10E-05	RUNX1/SELPLG/PTPRC/ITGB1/CD47/NFAT5/PECAM1/EXT1/ITGAL/GCNT1/PAG1/SOX4	12	0.061538462	0.009206457	-6.684272158	E788_vs_WT	down
MIR4694_3P	11/195	311/41384	3.10E-07	1.87E-05	1.10E-05	RASGRP3/MEF2C/RYR2/CTNNA2/SMIM14/SMARCA2/AUTS2/GIMAP8/GBP4/NFAT5/MAP2	11	0.056410256	0.007514982	-7.506373155	E788_vs_WT	down
FAN_OVARY_CL13_MONOCYTE_MACROPHAGE	13/195	458/41384	3.21E-07	1.93E-05	1.14E-05	ZEB2/LSP1/MBP/LGMN/CYTOR/PTPRC/TNFAIP8/MIR4435-2HG/DUSP1/SERPINB9/TMSB4X/AKAP13/CYRIA	13	0.066666667	0.011067079	-6.023871907	E788_vs_WT	down
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	11/195	313/41384	3.30E-07	1.97E-05	1.16E-05	PDE4D/F2R/RYR2/RRAD/CXCL10/PTPRC/ITGAV/MCOLN2/GRIN2A/PIK3CG/CACNA2D3	11	0.056410256	0.007563309	-7.45840911	E788_vs_WT	down
MODULE_2	12/195	384/41384	3.35E-07	1.98E-05	1.17E-05	ANK3/MBP/STMN2/RFTN1/AUTS2/PTPRC/FN1/CADM1/DUSP6/PECAM1/GNG11/JUN	12	0.061538462	0.009278948	-6.632051282	E788_vs_WT	down
ERBB2_UP.V1_UP	9/195	190/41384	3.35E-07	1.98E-05	1.17E-05	PDE4D/ZNF365/RFTN1/CLMN/DUSP4/DOCK10/CSGALNACT1/DUSP6/ATXN1	9	0.046153846	0.004591146	-10.05279352	E788_vs_WT	down
HU_FETAL_RETINA_FIBROBLAST	12/195	385/41384	3.44E-07	2.03E-05	1.20E-05	F2R/CALD1/MEF2C/DDR2/SMARCA2/FN1/ITGB1/LIMA1/MCL1/GNG11/NR3C1/JUN	12	0.061538462	0.009303112	-6.614825175	E788_vs_WT	down
PRC2_EED_DN.V1_UP	9/195	191/41384	3.50E-07	2.06E-05	1.22E-05	H1-2/TRIB1/RABGAP1L/CXCL10/H2AC6/PTPRT/CACNA2D3/SERPINB2/ATXN1	9	0.046153846	0.00461531	-10.0001611	E788_vs_WT	down
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN	10/195	250/41384	3.53E-07	2.06E-05	1.22E-05	RASGRP3/RUNX1/FILIP1L/RFTN1/HOMER2/TNFAIP8/CACNA2D3/MCL1/DUSP5/MICAL1	10	0.051282051	0.006040982	-8.489025641	E788_vs_WT	down
FAN_OVARY_CL7_ANGEIOGENIC_ENDOTHELIAL_CELL	10/195	251/41384	3.66E-07	2.13E-05	1.26E-05	MEF2C/SH3BP5/FN1/DUSP1/DUSP6/TMSB4X/LIMA1/PECAM1/GNG11/JUN	10	0.051282051	0.006065146	-8.455204822	E788_vs_WT	down
GSE5099_DAY3_VS_DAY7_MCSF_TREATED_MACROPHAGE_UP	9/195	192/41384	3.66E-07	2.13E-05	1.26E-05	LRRN3/STK17A/ANK3/FAM107B/AUTS2/RBM20/GIMAP8/GBP3/PAG1	9	0.046153846	0.004639474	-9.948076923	E788_vs_WT	down
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	9/195	193/41384	3.82E-07	2.21E-05	1.31E-05	TRANK1/SMIM14/SELPLG/ENTPD1/GIMAP8/GBP4/GBP3/ITGAL/STARD4	9	0.046153846	0.004663638	-9.896532483	E788_vs_WT	down
WP_G_PROTEIN_SIGNALING_PATHWAYS	7/195	96/41384	3.87E-07	2.23E-05	1.32E-05	PDE4D/PPP3CA/GNG11/GNA12/PRKCB/AKAP13/ADCY6	7	0.035897436	0.002319737	-15.47478632	E788_vs_WT	down
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	13/195	466/41384	3.90E-07	2.23E-05	1.32E-05	RUNX1/FILIP1L/SMARCA2/RFTN1/SEMA5A/DUSP1/MYCBP2/NCOA1/NR3C1/TLE4/EXT1/TDRD7/JUN	13	0.066666667	0.01126039	-5.920457797	E788_vs_WT	down
MIR9983_3P	13/195	466/41384	3.90E-07	2.23E-05	1.32E-05	F2R/TOX/RUNX1/RYR2/MAST4/AUTS2/MYCBP2/CADM1/NCOA1/TSHZ2/PRKCB/DAB2IP/SOX4	13	0.066666667	0.01126039	-5.920457797	E788_vs_WT	down
ICSBP_Q6	10/195	253/41384	3.93E-07	2.24E-05	1.32E-05	H1-2/LRRN3/ZEB2/TLR7/TSPAN2/ENTPD1/CDKN2C/CASP7/SYNE2/PHF6	10	0.051282051	0.006113474	-8.388365258	E788_vs_WT	down
ISRE_01	10/195	253/41384	3.93E-07	2.24E-05	1.32E-05	H1-2/MET/MEF2C/ZEB2/LSP1/TLR7/CXCL10/EGR2/CDKN2C/MAP2	10	0.051282051	0.006113474	-8.388365258	E788_vs_WT	down
GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP	9/195	194/41384	3.99E-07	2.26E-05	1.34E-05	RASGRP3/CLEC2D/ENTPD1/TNFAIP8/CDC14B/MYCBP2/CD47/JUN/ST6GAL1	9	0.046153846	0.004687802	-9.845519429	E788_vs_WT	down
Lenalidomide_induced_ABC_SigDB_Staudt	13/195	468/41384	4.09E-07	2.28E-05	1.35E-05	RABGAP1L/SLC2A5/TLR7/CXCL10/TMEM45A/EHF/MYBPC2/GBP4/GBP3/PECAM1/GNG11/GBP1/SLFN5	13	0.066666667	0.011308718	-5.895156695	E788_vs_WT	down
Tcell_PIrep4x_Feske_Fig6_SigDB_Staudt	6/195	60/41384	4.11E-07	2.28E-05	1.35E-05	TOX/SMARCA2/CDKN2C/ITGAL/RGS9/ST6GAL1	6	0.030769231	0.001449836	-21.2225641	E788_vs_WT	down
ZHENG_CORD_BLOOD_C10_MULTILYMPHOID_PROGENITOR	7/195	97/41384	4.16E-07	2.28E-05	1.35E-05	SLC2A5/TRAF3IP3/SETBP1/CD47/PRKCB/ITGAL/PAG1	7	0.035897436	0.002343901	-15.31525245	E788_vs_WT	down
GSE10325_CD4_TCELL_VS_BCELL_DN	9/195	195/41384	4.17E-07	2.28E-05	1.35E-05	RASGRP3/MEF2C/TLR7/BLK/SETBP1/ENTPD1/H2BC12/PRKCB/JUN	9	0.046153846	0.004711966	-9.795029586	E788_vs_WT	down
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_UP	9/195	195/41384	4.17E-07	2.28E-05	1.35E-05	TRIB1/TRANK1/ATP8A1/SESN3/GBP4/DUSP1/CSGALNACT1/NCOA1/JUN	9	0.046153846	0.004711966	-9.795029586	E788_vs_WT	down
GSE26290_WT_VS_PDK1_KO_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_UP	9/195	195/41384	4.17E-07	2.28E-05	1.35E-05	PRDM1/DNER/TRAF3IP3/LGMN/TSPAN2/FN1/RGS9/ISM1/JUN	9	0.046153846	0.004711966	-9.795029586	E788_vs_WT	down
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP	9/195	195/41384	4.17E-07	2.28E-05	1.35E-05	H1-2/PLD1/TRIB1/RUNX1/H2AC6/DUSP4/SERPINB9/NFAT5/CYRIA	9	0.046153846	0.004711966	-9.795029586	E788_vs_WT	down
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP	9/195	195/41384	4.17E-07	2.28E-05	1.35E-05	MAST4/ENTPD1/H2AC6/PIK3CG/PECAM1/TLE4/TP53INP1/ADAM22/KCNMB4	9	0.046153846	0.004711966	-9.795029586	E788_vs_WT	down
MEK_UP.V1_UP	9/195	195/41384	4.17E-07	2.28E-05	1.35E-05	MEF2C/RFTN1/CLMN/PKIA/TNFAIP8/DUSP4/CSGALNACT1/GCNT1/ATXN1	9	0.046153846	0.004711966	-9.795029586	E788_vs_WT	down
GTACTGT_MIR101	10/195	255/41384	4.23E-07	2.28E-05	1.35E-05	PDE4D/TRIB1/LRRN3/RAPH1/PHLDA1/DUSP1/CADM1/LRRFIP2/ADCY6/ATXN1	10	0.051282051	0.006161802	-8.322574158	E788_vs_WT	down
OCT1_05	10/195	255/41384	4.23E-07	2.28E-05	1.35E-05	PDE4D/LRRN3/STMN2/EHF/EGR2/H2AC6/STAT4/CADM1/DUSP6/PRKCB	10	0.051282051	0.006161802	-8.322574158	E788_vs_WT	down
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	11/195	321/41384	4.24E-07	2.28E-05	1.35E-05	PDE4D/MEF2C/BLK/IGHG4/RFTN1/PTPRJ/PTPRC/GCSAM/CD47/GBP1/PRKCB	11	0.056410256	0.007756621	-7.272529755	E788_vs_WT	down
MIR613	11/195	321/41384	4.24E-07	2.28E-05	1.35E-05	RABGAP1L/MET/ZEB2/STMN2/SMIM14/FN1/FNDC3B/NCOA1/NFAT5/TMSB4X/PHF6	11	0.056410256	0.007756621	-7.272529755	E788_vs_WT	down
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_6H_ACT_CD4_TCELL_DN	9/195	196/41384	4.35E-07	2.28E-05	1.35E-05	PDE4D/MBP/FAM107B/GIMAP8/GBP4/GBP1/TP53INP1/PASK/JUN	9	0.046153846	0.00473613	-9.745054945	E788_vs_WT	down
GSE21927_SPLEEN_MONOCYTE_VS_GMCSF_GCSF_BONE_MARROW_DN	9/195	196/41384	4.35E-07	2.28E-05	1.35E-05	ANK3/MEF2C/SMARCA2/MCOLN2/ZDHHC14/CD82/CYRIA/PAG1/JUN	9	0.046153846	0.00473613	-9.745054945	E788_vs_WT	down
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN	9/195	196/41384	4.35E-07	2.28E-05	1.35E-05	TRIB1/RUNX1/RRAD/TP73/CADM1/FNDC3B/DUSP5/EXT1/NUCB2	9	0.046153846	0.00473613	-9.745054945	E788_vs_WT	down
GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_DN	9/195	196/41384	4.35E-07	2.28E-05	1.35E-05	MAST4/RASSF8/ABCD2/PTPRJ/PTPRC/H2AC6/GBP2/NFAT5/CACNA2D3	9	0.046153846	0.00473613	-9.745054945	E788_vs_WT	down
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	9/195	196/41384	4.35E-07	2.28E-05	1.35E-05	ANK3/RASGRP3/BLK/CLEC2D/SETBP1/SH3BP5/PKIA/TNFAIP8/CD47	9	0.046153846	0.00473613	-9.745054945	E788_vs_WT	down
GSE29618_BCELL_VS_PDC_UP	9/195	196/41384	4.35E-07	2.28E-05	1.35E-05	RASGRP3/CLEC2D/SH3BP5/PTPRC/DUSP1/MYCBP2/WWC3/JUN/ST6GAL1	9	0.046153846	0.00473613	-9.745054945	E788_vs_WT	down
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	7/195	98/41384	4.46E-07	2.28E-05	1.35E-05	RASGRP3/MEF2C/BLK/PTPRC/PIK3CG/PRKCB/JUN	7	0.035897436	0.002368065	-15.15897436	E788_vs_WT	down
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	6/195	61/41384	4.54E-07	2.28E-05	1.35E-05	TRIB1/MEF2C/RRAD/EGR2/DUSP4/DUSP6	6	0.030769231	0.001474	-20.87465322	E788_vs_WT	down
GSE11057_PBMC_VS_MEM_CD4_TCELL_UP	9/195	197/41384	4.54E-07	2.28E-05	1.35E-05	MEF2C/ZEB2/CCDC88A/DUSP6/CACNA2D3/GNG11/CYRIA/SERPINB2/SOX4	9	0.046153846	0.004760294	-9.695587661	E788_vs_WT	down
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP	9/195	197/41384	4.54E-07	2.28E-05	1.35E-05	PDE4D/TOX/LRRN3/TNIK/CLEC2D/PKIA/SYNE2/PASK/NUCB2	9	0.046153846	0.004760294	-9.695587661	E788_vs_WT	down
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN	9/195	197/41384	4.54E-07	2.28E-05	1.35E-05	PDE4D/ANK3/CLIC5/PHLDA1/KIF13B/MAST4/DUSP4/GNA12/JUN	9	0.046153846	0.004760294	-9.695587661	E788_vs_WT	down
GSE29618_MONOCYTE_VS_PDC_DN	9/195	197/41384	4.54E-07	2.28E-05	1.35E-05	H1-2/LGMN/ATP8A1/SETBP1/AUTS2/CCDC88A/DUSP5/SOX4/NUCB2	9	0.046153846	0.004760294	-9.695587661	E788_vs_WT	down
TRAVAGLINI_LUNG_CD8_NAIVE_T_CELL	8/195	144/41384	4.58E-07	2.28E-05	1.35E-05	PRDM1/F2R/LSP1/MBP/STAT4/SYNE2/ITGAL/SLFN5	8	0.041025641	0.003479606	-11.79031339	E788_vs_WT	down
GTTTGTT_MIR495	10/195	258/41384	4.70E-07	2.28E-05	1.35E-05	PDE4D/RORB/AFF2/CADM1/NCOA1/NFAT5/DUSP6/PPP3CA/JUN/PHF6	10	0.051282051	0.006234293	-8.22580004	E788_vs_WT	down
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_DN	9/195	198/41384	4.74E-07	2.28E-05	1.35E-05	RFTN1/AUTS2/MCOLN2/ITGB1/DUSP5/CD82/TP53INP1/SYNE2/ATXN1	9	0.046153846	0.004784458	-9.646620047	E788_vs_WT	down
GSE4984_LPS_VS_VEHICLE_CTRL_TREATED_DC_DN	9/195	198/41384	4.74E-07	2.28E-05	1.35E-05	PRDM1/TOX/RUNX1/AUTS2/NFAT5/NR3C1/CD82/AKAP13/ATXN1	9	0.046153846	0.004784458	-9.646620047	E788_vs_WT	down
ZHENG_FOXP3_TARGETS_IN_THYMUS_UP	9/195	198/41384	4.74E-07	2.28E-05	1.35E-05	TOX/RABGAP1L/EXOC6B/STAT4/GBP2/DOCK10/NR3C1/AKAP13/EXT1	9	0.046153846	0.004784458	-9.646620047	E788_vs_WT	down
AIZARANI_LIVER_C28_NK_NKT_CELLS_6	7/195	99/41384	4.78E-07	2.28E-05	1.35E-05	PRDM1/PDE4D/STK17A/AUTS2/PTPRC/DUSP4/NR3C1	7	0.035897436	0.002392229	-15.00585341	E788_vs_WT	down
Dendritic_cell_CD123pos_blood_SigDB_Staudt	11/195	326/41384	4.93E-07	2.28E-05	1.35E-05	RABGAP1L/TLR7/SETBP1/LINC00996/DUSP6/DUSP5/EXT1/PAG1/SLC37A1/SOX4/NUCB2	11	0.056410256	0.007877441	-7.160987887	E788_vs_WT	down
CAMP_UP.V1_DN	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	PRDM1/ATP8A1/RRAD/PKIA/PTPRC/CASP7/TMSB4X/MAP2/SERPINB2	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_UP	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	RABGAP1L/FAM107B/RFTN1/PTPRJ/GIMAP8/SESN3/DUSP4/TP53INP1/ITGAL	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	EFNA5/MBP/PHLDA1/CXCL10/SH3BP5/CADM1/DUSP6/PPP3CA/PAG1	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	PRDM1/HOMER2/SH3BP5/DUSP4/CHN2/DUSP1/SERPINB9/DUSP5/SERPINB2	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_DN	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	RASSF8/SMARCA2/CRACDL/EGR2/MCOLN2/CSGALNACT1/NCOA1/TLE4/GCNT1	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_DN	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	PHLDA1/CLEC2D/DUSP1/CASP7/FNDC3B/CD47/GBP1/SLC37A1/STARD4	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_FETAL_DN	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	MBP/ATP8A1/IL5RA/CDKN2C/NR3C1/PRKCB/SYNE2/PAG1/ADCY6	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	PLD1/FILIP1L/TNIK/EHF/PTPRC/TNFAIP8/E2F7/AKAP13/CYRIA	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE37533_PPARG1_FOXP3_VS_PPARG2_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_DN	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	TRIB1/TRANK1/CXCL10/SETBP1/GBP2/CASP7/CD47/GBP1/TDRD7	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE39820_CTRL_VS_TGFBETA1_IL6_CD4_TCELL_UP	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	TOX/PHLDA1/FILIP1L/ITGB1/PPP3CA/KCNQ5/DUSP5/PAG1/PHF6	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE41978_ID2_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	RABGAP1L/MET/CXCL10/PTPRC/GBP2/CASP7/CD47/GBP1/SYNE2	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE43863_TFH_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	TLR7/FAM107B/CXCL10/GIMAP8/GBP4/CD47/PECAM1/ADCY6/JUN	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE45881_CXCR6HI_VS_CXCR1LO_COLONIC_LAMINA_PROPRIA_DN	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	RASGRP3/MEF2C/SETBP1/CLMN/SH3BP5/ENTPD1/CCDC88A/GNA12/PRKCB	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_24H_UP	9/195	199/41384	4.95E-07	2.28E-05	1.35E-05	RASGRP3/GIMAP8/PTPRC/TSPAN33/CDC14B/GBP2/IL5RA/ITGAL/ADAM22	9	0.046153846	0.004808622	-9.598144569	E788_vs_WT	down
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	12/195	399/41384	5.02E-07	2.28E-05	1.35E-05	MET/PCP4/CLEC2D/RASSF8/SH3BP5/PKIA/E2F7/SH3RF1/ITGB1/FNDC3B/SYNE2/AKAP13	12	0.061538462	0.009641407	-6.382726046	E788_vs_WT	down
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	11/195	327/41384	5.08E-07	2.28E-05	1.35E-05	MET/RASGRP3/CDC14B/DUSP4/FN1/DUSP1/IL5RA/DUSP6/DUSP5/DAB2IP/JUN	11	0.056410256	0.007901604	-7.139088842	E788_vs_WT	down
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	8/195	146/41384	5.09E-07	2.28E-05	1.35E-05	TRIB1/CALD1/RABGAP1L/TNFAIP8/DUSP1/FNDC3B/GCNT1/SOX4	8	0.041025641	0.003527934	-11.62880225	E788_vs_WT	down
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	9/195	200/41384	5.16E-07	2.28E-05	1.35E-05	RASGRP3/MEF2C/BLK/CRACDL/CD47/MCL1/TP53INP1/AKAP13/PAG1	9	0.046153846	0.004832786	-9.550153846	E788_vs_WT	down
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_UP	9/195	200/41384	5.16E-07	2.28E-05	1.35E-05	TLR7/LGMN/SESN3/MYCBP2/NR3C1/TLE4/PAG1/ADCY6/SOX4	9	0.046153846	0.004832786	-9.550153846	E788_vs_WT	down
GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN	9/195	200/41384	5.16E-07	2.28E-05	1.35E-05	PHLDA1/EGR2/DUSP4/DUSP1/LIMA1/MCL1/DUSP5/TLE4/JUN	9	0.046153846	0.004832786	-9.550153846	E788_vs_WT	down
